2023-09-25 11:48:50 ------- Simulation started
2023-09-25 11:48:50 ------- The ship landed at Coordinate[x=6, y=6]
2023-09-25 11:48:50 ------- STEP: 0, EVENT: The rover has been deployed, UNIT: rover-1,POSITION [7,5]
2023-09-25 11:48:50 ------- STEP: 0, EVENT: POSITION, UNIT: rover-1,POSITION [8,4]
2023-09-25 11:48:50 ------- STEP: 0, EVENT: SCAN, UNIT: rover-1,POSITION [8,4]
2023-09-25 11:48:50 ------- STEP: 1, EVENT: POSITION, UNIT: rover-1,POSITION [9,4]
2023-09-25 11:48:50 ------- STEP: 1, EVENT: SCAN, UNIT: rover-1,POSITION [9,4]
2023-09-25 11:48:50 ------- STEP: 2, EVENT: POSITION, UNIT: rover-1,POSITION [9,3]
2023-09-25 11:48:50 ------- STEP: 2, EVENT: SCAN, UNIT: rover-1,POSITION [9,3]
2023-09-25 11:48:50 ------- STEP: 3, EVENT: POSITION, UNIT: rover-1,POSITION [8,3]
2023-09-25 11:48:50 ------- STEP: 3, EVENT: SCAN, UNIT: rover-1,POSITION [8,3]
2023-09-25 11:48:50 ------- STEP: 4, EVENT: POSITION, UNIT: rover-1,POSITION [7,3]
2023-09-25 11:48:50 ------- STEP: 4, EVENT: SCAN, UNIT: rover-1,POSITION [7,3]
2023-09-25 11:48:50 ------- STEP: 5, EVENT: POSITION, UNIT: rover-1,POSITION [6,2]
2023-09-25 11:48:50 ------- STEP: 5, EVENT: SCAN, UNIT: rover-1,POSITION [6,2]
2023-09-25 11:48:50 ------- STEP: 6, EVENT: POSITION, UNIT: rover-1,POSITION [7,1]
2023-09-25 11:48:50 ------- STEP: 6, EVENT: SCAN, UNIT: rover-1,POSITION [7,1]
2023-09-25 11:48:50 ------- STEP: 7, EVENT: POSITION, UNIT: rover-1,POSITION [6,0]
2023-09-25 11:48:50 ------- STEP: 7, EVENT: SCAN, UNIT: rover-1,POSITION [6,0]
2023-09-25 11:48:50 ------- STEP: 8, EVENT: POSITION, UNIT: rover-1,POSITION [5,0]
2023-09-25 11:48:50 ------- STEP: 8, EVENT: SCAN, UNIT: rover-1,POSITION [5,0]
2023-09-25 11:48:50 ------- STEP: 9, EVENT: POSITION, UNIT: rover-1,POSITION [6,1]
2023-09-25 11:48:50 ------- STEP: 9, EVENT: SCAN, UNIT: rover-1,POSITION [6,1]
2023-09-25 11:48:50 ------- STEP: 10, EVENT: POSITION, UNIT: rover-1,POSITION [7,0]
2023-09-25 11:48:50 ------- STEP: 10, EVENT: SCAN, UNIT: rover-1,POSITION [7,0]
2023-09-25 11:48:50 ------- STEP: 11, EVENT: POSITION, UNIT: rover-1,POSITION [8,1]
2023-09-25 11:48:50 ------- STEP: 11, EVENT: SCAN, UNIT: rover-1,POSITION [8,1]
2023-09-25 11:48:50 ------- STEP: 12, EVENT: POSITION, UNIT: rover-1,POSITION [8,2]
2023-09-25 11:48:50 ------- STEP: 12, EVENT: SCAN, UNIT: rover-1,POSITION [8,2]
2023-09-25 11:48:50 ------- STEP: 13, EVENT: POSITION, UNIT: rover-1,POSITION [9,1]
2023-09-25 11:48:50 ------- STEP: 13, EVENT: SCAN, UNIT: rover-1,POSITION [9,1]
2023-09-25 11:48:50 ------- STEP: 14, EVENT: POSITION, UNIT: rover-1,POSITION [9,0]
2023-09-25 11:48:50 ------- STEP: 14, EVENT: SCAN, UNIT: rover-1,POSITION [9,0]
2023-09-25 11:48:50 ------- STEP: 15, EVENT: POSITION, UNIT: rover-1,POSITION [10,1]
2023-09-25 11:48:50 ------- STEP: 15, EVENT: SCAN, UNIT: rover-1,POSITION [10,1]
2023-09-25 11:48:50 ------- STEP: 16, EVENT: POSITION, UNIT: rover-1,POSITION [11,2]
2023-09-25 11:48:50 ------- STEP: 16, EVENT: SCAN, UNIT: rover-1,POSITION [11,2]
2023-09-25 11:48:50 ------- STEP: 17, EVENT: POSITION, UNIT: rover-1,POSITION [10,2]
2023-09-25 11:48:50 ------- STEP: 17, EVENT: SCAN, UNIT: rover-1,POSITION [10,2]
2023-09-25 11:48:50 ------- STEP: 18, EVENT: POSITION, UNIT: rover-1,POSITION [11,1]
2023-09-25 11:48:50 ------- STEP: 18, EVENT: SCAN, UNIT: rover-1,POSITION [11,1]
2023-09-25 11:48:50 ------- STEP: 19, EVENT: POSITION, UNIT: rover-1,POSITION [12,1]
2023-09-25 11:48:50 ------- STEP: 19, EVENT: SCAN, UNIT: rover-1,POSITION [12,1]
2023-09-25 11:48:50 ------- STEP: 20, EVENT: POSITION, UNIT: rover-1,POSITION [12,0]
2023-09-25 11:48:50 ------- STEP: 20, EVENT: SCAN, UNIT: rover-1,POSITION [12,0]
2023-09-25 11:48:50 ------- STEP: 21, EVENT: POSITION, UNIT: rover-1,POSITION [13,0]
2023-09-25 11:48:50 ------- STEP: 21, EVENT: SCAN, UNIT: rover-1,POSITION [13,0]
2023-09-25 11:48:50 ------- STEP: 22, EVENT: POSITION, UNIT: rover-1,POSITION [14,0]
2023-09-25 11:48:50 ------- STEP: 22, EVENT: SCAN, UNIT: rover-1,POSITION [14,0]
